Snippet		448000	470000	22000	4
L-eye		448000	448200	200	25-25
L-eye		448200	448280	80	25-24
L-eye		448280	448520	240	24-24
L-eye		448520	448560	40	24-23
L-eye		448560	448920	360	23-23
L-eye		448920	448960	40	23-34
L-eye		448960	449240	280	34-34
L-eye		449240	449320	80	34-33
L-eye		449320	449480	160	33-33
L-eye		449480	449560	80	33-32
L-eye		449560	450200	640	32-32
L-eye		450200	450240	40	32-31
L-eye		450240	450440	200	31-31
L-eye		450440	450520	80	31-33
L-eye		450520	450680	160	33-33
L-eye		450680	450760	80	33-22
L-eye		450760	450960	200	22-22
L-eye		450960	451000	40	22-23
L-eye		451000	451160	160	23-23
L-eye		451160	451240	80	23-12
L-eye		451240	451560	320	12-12
L-eye		451560	451600	40	12-23
L-eye		451600	451840	240	23-23
L-eye		451840	451880	40	23-22
L-eye		451880	452080	200	22-22
L-eye		452080	452160	80	22-12
L-eye		452160	452600	440	12-12
L-eye		452600	452640	40	12-23
L-eye		452640	452920	280	23-23
L-eye		452920	452960	40	23-22
L-eye		452960	453120	160	22-22
L-eye		453120	453160	40	22-24
L-eye		453160	453880	720	24-24
L-eye		453880	453960	80	24-13
L-eye		453960	454320	360	13-13
L-eye		454320	454360	40	13-23
L-eye		454360	454560	200	23-23
L-eye		454560	454680	120	23-21
L-eye		454680	455040	360	21-21
L-eye		455040	455160	120	21-24
L-eye		455160	455280	120	24-25
L-eye		455280	455880	600	25-25
L-eye		455880	455920	40	25-23
L-eye		455920	456400	480	23-23
L-eye		456400	456480	80	23-22
L-eye		456480	458480	2000	22-22
L-eye		458480	458600	120	22-34
L-eye		458600	458720	120	34-22
L-eye		458720	458800	80	22-13
L-eye		458800	458920	120	13-13
L-eye		458920	459000	80	13-23
L-eye		459000	459080	80	23-24
L-eye		459080	459120	40	24-23
L-eye		459120	459880	760	23-23
L-eye		459880	459960	80	23-24
L-eye		459960	460160	200	24-24
L-eye		460160	460600	440	22-22
L-eye		460600	460640	40	22-32
L-eye		460640	460960	320	32-32
L-eye		460960	462000	1040	22-22
L-eye		462000	462160	160	22-23
L-eye		462160	463960	1800	23-23
L-eye		463960	464000	40	23-12
L-eye		464000	464200	200	12-12
L-eye		464200	464240	40	12-13
L-eye		464240	464840	600	13-13
L-eye		464840	464920	80	13-24
L-eye		464920	465040	120	24-24
L-eye		465040	465080	40	24-23
L-eye		465080	465120	40	23-22
L-eye		465120	465640	520	22-22
L-eye		465640	465680	40	22-24
L-eye		465680	465880	200	24-24
L-eye		465880	466360	480	12-12
L-eye		466360	466400	40	12-22
L-eye		466400	466640	240	22-22
L-eye		466640	466680	40	22-23
L-eye		466680	467680	1000	23-23
L-eye		467680	467760	80	23-24
L-eye		467760	468360	600	24-24
L-eye		468360	468400	40	24-25
L-eye		468400	468600	200	25-25
L-eye		468600	468640	40	25-34
L-eye		468640	468680	40	34-34
L-eye		468680	468720	40	34-24
L-eye		468720	468960	240	34-34
L-eye		468960	469280	320	23-23
L-eye		469280	469480	200	23-25
L-eye		469480	469800	320	25-25
L-eye		469800	469920	120	25-33
L-eye		469920	470000	80	33-33
R-eye		448000	450040	2040	23-23
R-eye		450040	450160	120	23-13
R-eye		450160	451120	960	13-13
R-eye		451120	451160	40	13-23
R-eye		451160	454640	3480	23-23
R-eye		454640	454720	80	23-24
R-eye		454720	455120	400	24-24
R-eye		455120	455240	120	24-23
R-eye		455240	457840	2600	23-23
R-eye		457840	457960	120	23-24
R-eye		457960	459400	1440	24-24
R-eye		459400	459440	40	24-25
R-eye		459440	459720	280	25-23
R-eye		459720	461720	2000	23-23
R-eye		461720	461800	80	23-21
R-eye		461800	461880	80	21-22
R-eye		461880	462000	120	22-23
R-eye		462000	462600	600	23-23
R-eye		462600	462720	120	23-13
R-eye		462720	463280	560	13-13
R-eye		463280	463320	40	13-12
R-eye		463320	464240	920	12-12
R-eye		464240	464280	40	12-23
R-eye		464280	464320	40	23-24
